专业名称,专业组,选科,最高分,最低分,平均分,位次,人数,批次线差
会计学,01,不限,547,547,532.7,25115,114,84
汉语言文学,01,不限,552,544,537.3,26540,110,81
财务管理,01,不限,539,544,530.9,26540,75,81
经济与金融,01,不限,532,543,526.1,26982,7,80
汉语言文学,01,不限,552,541,537.3,27904,101,78
经济学,01,不限,535,540,526.0,28408,50,77
国际经济与贸易,01,不限,533,540,524.6,28408,8,77
英语,01,不限,531,538,526.2,29351,55,75
市场营销,01,不限,526,538,524.0,29351,23,75
小学教育,01,不限,534,537,528.8,29839,110,74
朝鲜语,01,不限,523,537,522.8,29839,9,74
广告学,01,不限,528,537,523.4,29839,55,74
电子商务,01,不限,540,537,523.6,29839,77,74
