专业名称,专业组,选科,最高分,最低分,平均分,位次,人数,批次线差
汉语言文学,02,不限,550,533,540.0,94093,20,85
计算机科学与技术,02,不限,555,527,530.5,100233,80,79
电气工程及其自动化,02,不限,550,525,529.7,102240,100,77
电子信息工程,02,不限,538,524,527.4,103298,41,76
软件工程,02,不限,536,524,526.7,103298,50,76
汉语言文学,02,不限,550,524,540.0,103298,20,76
会计学,02,不限,538,523,528.8,104327,35,75
数据科学与大数据技术,02,不限,531,521,523.5,106375,50,73
机械设计制造及其自动化,02,不限,541,520,523.6,107386,93,72
电子科学与技术,02,不限,532,520,522.1,107386,30,72
财务管理,02,不限,536,520,526.6,107386,35,72
人工智能,02,不限,533,520,523.1,107386,50,72
机器人工程,02,不限,529,518,520.4,109392,50,70
秘书学,02,不限,518,516,517.0,111339,3,68
新能源科学与工程,02,不限,537,516,519.7,111339,100,68
机械电子工程,02,不限,541,516,518.8,111339,80,68
数学与应用数学,02,不限,527,516,520.1,111339,30,68
英语,02,不限,524,515,518.9,112371,8,67
智能制造工程,02,不限,528,514,516.5,113412,40,66
储能科学与工程,02,不限,572,513,517.1,114462,50,65
小学教育,02,不限,552,512,521.5,115419,100,64
大数据管理与应用,02,不限,523,511,516.2,116463,50,63
智能建造,02,不限,522,510,513.5,117453,40,62
信息与计算科学,02,不限,523,510,514.9,117453,80,62
食品科学与工程,02,不限,529,509,514.8,118484,114,61
应用统计学,02,不限,524,508,514.2,119495,45,60
物流工程,02,不限,520,508,510.9,119495,32,60
学前教育,02,不限,519,507,510.5,120486,15,59
材料科学与工程,02,不限,527,507,513.3,120486,40,59
工程造价,02,不限,536,507,515.9,120486,41,59
旅游管理,02,不限,513,507,507.8,120486,8,59
经济与金融,02,不限,526,507,513.2,120486,24,59
电子商务,02,不限,528,506,510.2,121516,37,58
应急管理,02,不限,524,506,510.1,121516,40,58
国际经济与贸易,02,不限,517,506,510.1,121516,30,58
市场营销,02,不限,512,506,508.5,121516,20,58
房地产开发与管理,02,不限,507,506,506.2,121516,17,58
信息管理与信息系统,02,不限,524,506,512.1,121516,70,58
朝鲜语,02,不限,506,506,506.0,121516,2,58
土木工程,02,不限,527,506,513.1,121516,71,58
金融科技,02,不限,518,506,511.5,121516,15,58
环保设备工程,02,不限,515,506,511.6,121516,40,58
信用管理,02,不限,506,506,506.0,121516,15,58
工程管理,02,不限,536,506,510.7,121516,35,58
工业设计,02,不限,525,506,512.1,121516,50,58
给排水科学与工程,02,不限,547,506,514.3,121516,61,58
环境工程,02,不限,526,506,512.0,121516,75,58
安全工程,02,不限,524,506,514.2,121516,45,58
风景园林,02,不限,521,506,511.6,121516,38,58
应用物理学,02,不限,529,506,512.3,121516,50,58
城市地下空间工程,02,不限,524,506,514.5,121516,40,58
广告学,02,不限,527,505,510.8,122563,15,57
高分子材料与工程,02,不限,519,505,510.9,122563,45,57
经济学,02,不限,520,505,510.7,122563,40,57
生物工程,02,不限,524,505,513.5,122563,81,57
应用化学,06,化学,515,503,506.5,124505,37,55
材料成型及控制工程,02,不限,540,501,512.1,126588,80,53
化学工程与工艺,06,化学,512,498,501.6,129552,47,50
电气工程及其自动化,05,不限,511,497,500.7,130481,30,49
化妆品技术与工程,06,化学,522,497,501.5,130481,40,49
食品质量与安全,06,化学,520,496,501.2,131452,46,48
高分子材料与工程,05,不限,503,494,496.6,133441,30,46
电气工程及其自动化,03,不限,514,488,497.1,139208,53,40
机械电子工程,03,不限,505,483,487.5,143882,47,35
电子科学与技术,04,不限,505,473,483.5,153184,60,25
机器人工程,04,不限,512,468,475.1,157548,60,20
材料科学与工程,04,不限,497,464,472.1,161010,60,16
环境工程,04,不限,487,462,466.8,162620,60,14
