分数,本段人数,累计人数
689-750,107,107
688,15,122
687,21,143
686,23,166
685,27,193
684,33,226
683,30,256
682,42,298
681,36,334
680,37,371
679,52,423
678,60,483
677,47,530
676,66,596
675,66,662
674,65,727
673,85,812
672,75,887
671,90,977
670,90,1067
669,105,1172
668,112,1284
667,121,1405
666,135,1540
665,129,1669
664,154,1823
663,164,1987
662,150,2137
661,159,2296
660,179,2475
659,187,2662
658,180,2842
657,184,3026
656,202,3228
655,248,3476
654,270,3746
653,241,3987
652,241,4228
651,271,4499
650,271,4770
649,289,5059
648,263,5322
647,321,5643
646,302,5945
645,330,6275
644,329,6604
643,346,6950
642,326,7276
641,357,7633
640,381,8014
639,365,8379
638,400,8779
637,365,9144
636,377,9521
635,419,9940
634,382,10322
633,436,10758
632,430,11188
631,441,11629
630,496,12125
629,452,12577
628,459,13036
627,514,13550
626,547,14097
625,496,14593
624,524,15117
623,552,15669
622,558,16227
621,540,16767
620,575,17342
619,587,17929
618,561,18490
617,585,19075
616,618,19693
615,621,20314
614,676,20990
613,598,21588
612,633,22221
611,621,22842
610,659,23501
609,704,24205
608,699,24904
607,701,25605
606,682,26287
605,747,27034
604,730,27764
603,721,28485
602,721,29206
601,776,29982
600,786,30768
599,759,31527
598,814,32341
597,846,33187
596,793,33980
595,839,34819
594,837,35656
593,846,36502
592,855,37357
591,853,38210
590,899,39109
589,840,39949
588,867,40816
587,874,41690
586,903,42593
585,969,43562
584,899,44461
583,928,45389
582,898,46287
581,990,47277
580,992,48269
579,949,49218
578,999,50217
577,973,51190
576,1019,52209
575,994,53203
574,1060,54263
573,995,55258
572,1065,56323
571,1075,57398
570,1019,58417
569,1105,59522
568,1062,60584
567,1020,61604
566,1076,62680
565,1082,63762
564,1124,64886
563,1063,65949
562,1098,67047
561,1101,68148
560,1121,69269
559,1160,70429
558,1170,71599
557,1144,72743
556,1175,73918
555,1161,75079
554,1196,76275
553,1205,77480
552,1175,78655
551,1218,79873
550,1220,81093
549,1210,82303
548,1244,83547
547,1170,84717
546,1282,85999
545,1182,87181
544,1233,88414
543,1221,89635
542,1258,90893
541,1287,92180
540,1252,93432
539,1272,94704
538,1318,96022
537,1291,97313
536,1233,98546
535,1297,99843
534,1304,101147
533,1271,102418
532,1253,103671
531,1221,104892
530,1325,106217
529,1355,107572
528,1270,108842
527,1259,110101
526,1311,111412
525,1259,112671
524,1260,113931
523,1222,115153
522,1324,116477
521,1317,117794
520,1256,119050
519,1339,120389
518,1339,121728
517,1262,122990
516,1318,124308
515,1330,125638
514,1299,126937
513,1362,128299
512,1268,129567
511,1258,130825
510,1324,132149
509,1347,133496
508,1304,134800
507,1273,136073
506,1272,137345
505,1296,138641
504,1320,139961
503,1285,141246
502,1280,142526
501,1307,143833
500,1285,145118
499,1330,146448
498,1226,147674
497,1290,148964
496,1262,150226
495,1182,151408
494,1203,152611
493,1274,153885
492,1203,155088
491,1286,156374
490,1237,157611
489,1155,158766
488,1216,159982
487,1197,161179
486,1173,162352
485,1116,163468
484,1155,164623
483,1145,165768
482,1117,166885
481,1140,168025
480,1184,169209
479,1101,170310
478,1077,171387
477,1083,172470
476,1114,173584
475,1095,174679
474,1067,175746
473,1066,176812
472,1044,177856
471,1013,178869
470,1047,179916
469,1083,180999
468,984,181983
467,1004,182987
466,1019,184006
465,996,185002
464,1044,186046
463,952,186998
462,960,187958
461,909,188867
460,880,189747
459,868,190615
458,867,191482
457,882,192364
456,892,193256
455,859,194115
454,848,194963
453,841,195804
452,873,196677
451,795,197472
450,783,198255
449,779,199034
448,753,199787
447,781,200568
446,718,201286
445,732,202018
444,667,202685
443,687,203372
442,721,204093
441,665,204758
440,689,205447
439,674,206121
438,716,206837
437,645,207482
436,590,208072
435,662,208734
434,620,209354
433,630,209984
432,626,210610
431,583,211193
430,586,211779
429,587,212366
428,524,212890
427,566,213456
426,545,214001
425,536,214537
424,514,215051
423,535,215586
422,513,216099
421,497,216596
420,457,217053
419,475,217528
418,489,218017
417,476,218493
416,463,218956
415,479,219435
414,440,219875
413,446,220321
412,418,220739
411,426,221165
410,415,221580
409,386,221966
408,414,222380
407,384,222764
406,403,223167
405,370,223537
404,343,223880
403,353,224233
402,349,224582
401,365,224947
400,363,225310
399,332,225642
398,324,225966
397,337,226303
396,329,226632
395,319,226951
394,338,227289
393,304,227593
392,276,227869
391,304,228173
390,286,228459
389,300,228759
388,246,229005
387,288,229293
386,263,229556
385,291,229847
384,276,230123
383,243,230366
382,266,230632
381,226,230858
380,218,231076
379,215,231291
378,245,231536
377,221,231757
376,220,231977
375,212,232189
374,221,232410
373,244,232654
372,205,232859
371,195,233054
370,188,233242
369,198,233440
368,195,233635
367,185,233820
366,198,234018
365,192,234210
364,152,234362
363,180,234542
362,201,234743
361,144,234887
360,171,235058
359,162,235220
358,172,235392
357,168,235560
356,179,235739
355,166,235905
354,144,236049
353,152,236201
352,147,236348
351,143,236491
350,159,236650
349,141,236791
348,121,236912
347,131,237043
346,138,237181
345,119,237300
344,139,237439
343,129,237568
342,119,237687
341,108,237795
340,120,237915
339,108,238023
338,114,238137
337,108,238245
336,104,238349
335,114,238463
334,97,238560
333,109,238669
332,100,238769
331,91,238860
330,96,238956
329,102,239058
328,80,239138
327,102,239240
326,92,239332
325,72,239404
324,103,239507
323,114,239621
322,87,239708
321,79,239787
320,76,239863
319,92,239955
318,93,240048
317,91,240139
316,87,240226
315,90,240316
314,75,240391
313,91,240482
312,76,240558
311,71,240629
310,74,240703
309,68,240771
308,71,240842
307,92,240934
306,79,241013
305,84,241097
304,81,241178
303,71,241249
302,59,241308
301,62,241370
300,79,241449
299,83,241532
298,59,241591
297,61,241652
296,69,241721
295,66,241787
294,68,241855
293,84,241939
292,67,242006
291,52,242058
290,57,242115
289,62,242177
288,73,242250
287,59,242309
286,74,242383
285,67,242450
284,72,242522
283,72,242594
282,60,242654
281,53,242707
280,57,242764
279,67,242831
278,65,242896
277,80,242976
276,65,243041
275,57,243098
274,61,243159
273,76,243235
272,55,243290
271,66,243356
270,74,243430
269,60,243490
268,78,243568
267,62,243630
266,59,243689
265,61,243750
264,48,243798
263,52,243850
262,53,243903
261,54,243957
260,55,244012
259,46,244058
258,59,244117
257,41,244158
256,44,244202
255,58,244260
254,52,244312
253,55,244367
252,54,244421
251,51,244472
250,48,244520
249,43,244563
248,50,244613
247,60,244673
246,51,244724
245,52,244776
244,47,244823
243,38,244861
242,49,244910
241,44,244954
240,50,245004
239,35,245039
238,45,245084
237,42,245126
236,48,245174
235,45,245219
234,36,245255
233,36,245291
232,42,245333
231,37,245370
230,33,245403
229,37,245440
228,37,245477
227,42,245519
226,33,245552
225,30,245582
224,28,245610
223,33,245643
222,33,245676
221,36,245712
220,27,245739
