分数,本段人数,累计人数
687-750,116,116
686,26,142
685,33,175
684,34,209
683,27,236
682,36,272
681,47,319
680,56,375
679,55,430
678,63,493
677,64,557
676,67,624
675,64,688
674,74,762
673,100,862
672,85,947
671,101,1048
670,114,1162
669,129,1291
668,121,1412
667,135,1547
666,144,1691
665,156,1847
664,172,2019
663,164,2183
662,188,2371
661,206,2577
660,177,2754
659,195,2949
658,216,3165
657,233,3398
656,227,3625
655,244,3869
654,244,4113
653,283,4396
652,246,4642
651,277,4919
650,319,5238
649,304,5542
648,351,5893
647,360,6253
646,336,6589
645,309,6898
644,367,7265
643,390,7655
642,375,8030
641,417,8447
640,381,8828
639,415,9243
638,413,9656
637,497,10153
636,458,10611
635,506,11117
634,475,11592
633,457,12049
632,522,12571
631,529,13100
630,486,13586
629,510,14096
628,520,14616
627,516,15132
626,519,15651
625,561,16212
624,535,16747
623,587,17334
622,573,17907
621,595,18502
620,600,19102
619,592,19694
618,597,20291
617,611,20902
616,687,21589
615,610,22199
614,657,22856
613,711,23567
612,627,24194
611,646,24840
610,655,25495
609,665,26160
608,697,26857
607,687,27544
606,723,28267
605,694,28961
604,754,29715
603,661,30376
602,758,31134
601,731,31865
600,756,32621
599,745,33366
598,740,34106
597,747,34853
596,797,35650
595,756,36406
594,772,37178
593,753,37931
592,836,38767
591,751,39518
590,803,40321
589,837,41158
588,850,42008
587,819,42827
586,829,43656
585,859,44515
584,894,45409
583,848,46257
582,856,47113
581,841,47954
580,877,48831
579,924,49755
578,839,50594
577,861,51455
576,894,52349
575,871,53220
574,925,54145
573,992,55137
572,883,56020
571,948,56968
570,960,57928
569,879,58807
568,991,59798
567,926,60724
566,1049,61773
565,919,62692
564,961,63653
563,847,64500
562,951,65451
561,1000,66451
560,940,67391
559,939,68330
558,943,69273
557,927,70200
556,947,71147
555,1020,72167
554,985,73152
553,959,74111
552,991,75102
551,1014,76116
550,966,77082
549,1002,78084
548,914,78998
547,958,79956
546,978,80934
545,992,81926
544,1036,82962
543,1015,83977
542,990,84967
541,994,85961
540,975,86936
539,1049,87985
538,1046,89031
537,1049,90080
536,1018,91098
535,980,92078
534,1043,93121
533,972,94093
532,1004,95097
531,1026,96123
530,1021,97144
529,1035,98179
528,1041,99220
527,1013,100233
526,1035,101268
525,972,102240
524,1058,103298
523,1029,104327
522,1045,105372
521,1003,106375
520,1011,107386
519,1005,108391
518,1001,109392
517,956,110348
516,991,111339
515,1032,112371
514,1041,113412
513,1050,114462
512,957,115419
511,1044,116463
510,990,117453
509,1031,118484
508,1011,119495
507,991,120486
506,1030,121516
505,1047,122563
504,950,123513
503,992,124505
502,1036,125541
501,1047,126588
500,950,127538
499,997,128535
498,1017,129552
497,929,130481
496,971,131452
495,981,132433
494,1008,133441
493,995,134436
492,1018,135454
491,955,136409
490,945,137354
489,920,138274
488,934,139208
487,942,140150
486,974,141124
485,935,142059
484,915,142974
483,908,143882
482,932,144814
481,948,145762
480,985,146747
479,969,147716
478,953,148669
477,896,149565
476,904,150469
475,928,151397
474,918,152315
473,869,153184
472,873,154057
471,874,154931
470,854,155785
469,924,156709
468,839,157548
467,938,158486
466,862,159348
465,863,160211
464,799,161010
463,803,161813
462,807,162620
461,799,163419
460,821,164240
459,801,165041
458,835,165876
457,788,166664
456,799,167463
455,798,168261
454,773,169034
453,803,169837
452,757,170594
451,768,171362
450,707,172069
449,706,172775
448,748,173523
447,707,174230
446,679,174909
445,675,175584
444,672,176256
443,671,176927
442,654,177581
441,664,178245
440,695,178940
439,634,179574
438,656,180230
437,608,180838
436,606,181444
435,583,182027
434,621,182648
433,591,183239
432,602,183841
431,584,184425
430,584,185009
429,588,185597
428,527,186124
427,530,186654
426,523,187177
425,534,187711
424,543,188254
423,528,188782
422,531,189313
421,542,189855
420,559,190414
419,512,190926
418,505,191431
417,468,191899
416,443,192342
415,475,192817
414,467,193284
413,471,193755
412,497,194252
411,433,194685
410,432,195117
409,448,195565
408,455,196020
407,416,196436
406,441,196877
405,428,197305
404,419,197724
403,415,198139
402,411,198550
401,352,198902
400,436,199338
399,427,199765
398,405,200170
397,391,200561
396,386,200947
395,380,201327
394,345,201672
393,403,202075
392,384,202459
391,328,202787
390,333,203120
389,315,203435
388,328,203763
387,357,204120
386,304,204424
385,323,204747
384,298,205045
383,282,205327
382,316,205643
381,309,205952
380,270,206222
379,287,206509
378,293,206802
377,256,207058
376,250,207308
375,253,207561
374,257,207818
373,217,208035
372,242,208277
371,233,208510
370,231,208741
369,217,208958
368,240,209198
367,235,209433
366,230,209663
365,209,209872
364,213,210085
363,216,210301
362,205,210506
361,208,210714
360,216,210930
359,196,211126
358,194,211320
357,192,211512
356,192,211704
355,227,211931
354,184,212115
353,203,212318
352,164,212482
351,185,212667
350,161,212828
349,173,213001
348,176,213177
347,155,213332
346,137,213469
345,155,213624
344,125,213749
343,135,213884
342,158,214042
341,173,214215
340,128,214343
339,134,214477
338,153,214630
337,128,214758
336,130,214888
335,135,215023
334,129,215152
333,126,215278
332,119,215397
331,127,215524
330,118,215642
329,115,215757
328,121,215878
327,124,216002
326,113,216115
325,103,216218
324,111,216329
323,108,216437
322,97,216534
321,88,216622
320,102,216724
319,86,216810
318,106,216916
317,84,217000
316,95,217095
315,80,217175
314,99,217274
313,93,217367
312,81,217448
311,75,217523
310,83,217606
309,73,217679
308,76,217755
307,68,217823
306,72,217895
305,84,217979
304,68,218047
303,74,218121
302,71,218192
301,76,218268
300,64,218332
299,60,218392
298,75,218467
297,62,218529
296,54,218583
295,46,218629
294,68,218697
293,60,218757
292,71,218828
291,35,218863
290,48,218911
289,48,218959
288,39,218998
287,38,219036
286,45,219081
285,46,219127
284,51,219178
283,39,219217
282,37,219254
281,38,219292
280,42,219334
279,34,219368
278,37,219405
277,34,219439
276,37,219476
275,32,219508
274,39,219547
273,25,219572
272,33,219605
271,26,219631
270,28,219659
269,30,219689
268,27,219716
267,21,219737
266,27,219764
265,28,219792
264,23,219815
263,21,219836
262,20,219856
261,25,219881
260,20,219901
259,21,219922
258,23,219945
257,17,219962
256,31,219993
255,26,220019
254,19,220038
253,17,220055
252,24,220079
251,24,220103
250,16,220119
249,17,220136
248,17,220153
247,22,220175
246,13,220188
245,20,220208
244,14,220222
243,9,220231
242,14,220245
241,11,220256
240,11,220267
239,11,220278
238,14,220292
237,9,220301
236,14,220315
235,9,220324
234,11,220335
233,12,220347
232,7,220354
231,10,220364
230,6,220370
229,8,220378
228,10,220388
227,9,220397
226,12,220409
225,10,220419
224,5,220424
223,11,220435
222,8,220443
221,9,220452
220,3,220455
