专业名称,专业组,选科,最高分,最低分,平均分,位次,人数,批次线差
会计学,01,不限,571,547,550.0,25115,114,84
汉语言文学,01,不限,555,544,543.7,26540,110,81
财务管理,01,不限,556,544,545.1,26540,75,81
经济与金融,01,不限,547,543,544.3,26982,7,80
汉语言文学,01,不限,555,541,543.7,27904,101,78
经济学,01,不限,557,540,542.4,28408,50,77
国际经济与贸易,01,不限,545,540,541.8,28408,8,77
英语,01,不限,551,538,540.8,29351,55,75
市场营销,01,不限,541,538,539.1,29351,23,75
小学教育,01,不限,555,537,540.3,29839,110,74
朝鲜语,01,不限,539,537,538.6,29839,9,74
广告学,01,不限,543,537,539.8,29839,55,74
电子商务,01,不限,543,537,538.3,29839,77,74
