专业,选科,限制,计划数,学费
汉语言文学（师范）,历史,不限,80,5200
经济与金融,历史,不限,35,5200
小学教育（师范）,历史,不限,100,5200
信用管理,历史,不限,20,5200
学前教育（师范）,历史,不限,80,5200
英语,历史,不限,50,5200
汉语言文学,历史,不限,90,5200
朝鲜语,历史,不限,8,5200
秘书学,历史,不限,25,5200
国际经济与贸易,历史,不限,61,5200
广告学,历史,不限,50,5200
市场营销,历史,不限,48,5200
会计学,历史,不限,84,5200
电子商务,历史,不限,60,5200
财务管理,历史,不限,54,5200
旅游管理,历史,不限,9,5200
经济学,历史,不限,70,5200
汉语言文学（师范）,物理,不限,30,5200
英语,物理,不限,8,5200
小学教育（师范）,物理,不限,50,5200
朝鲜语,物理,不限,2,5200
学前教育（师范）,物理,不限,20,5200
工程管理,物理,不限,66,5200
汉语言文学,物理,不限,35,5200
风景园林,物理,不限,49,5800
秘书学,物理,不限,3,5200
大数据管理与应用,物理,不限,80,5200
广告学,物理,不限,10,5200
信息管理与信息系统,物理,不限,65,5200
会计学,物理,不限,50,5200
应急管理,物理,不限,50,5200
财务管理,物理,不限,40,5200
物流工程,物理,不限,36,5200
经济学,物理,不限,40,5200
国际经济与贸易,物理,不限,30,5200
经济与金融,物理,不限,24,5200
市场营销,物理,不限,20,5200
信用管理,物理,不限,20,5200
电子商务,物理,不限,40,5200
金融科技,物理,不限,50,5200
旅游管理,物理,不限,8,5200
电子信息工程,物理,化学,41,5800
食品营养与健康,物理,化学,50,5800
计算机科学与技术,物理,化学,95,5800
生物工程,物理,化学,71,5800
软件工程,物理,化学,48,5800
给排水科学与工程,物理,化学,61,5800
数据科学与大数据技术,物理,化学,50,5800
环境工程,物理,化学,70,5800
人工智能,物理,化学,50,5800
环保设备工程,物理,化学,40,5800
电气工程及其自动化,物理,化学,120,5800
电子科学与技术,物理,化学,30,5800
机器人工程,物理,化学,50,5800
新能源科学与工程,物理,化学,100,5800
机械设计制造及其自动化,物理,化学,93,5800
储能科学与工程,物理,化学,50,5800
机械电子工程,物理,化学,80,5800
应用物理学,物理,化学,50,5500
材料成型及控制工程,物理,化学,80,5800
数学与应用数学,物理,化学,30,5500
工业设计,物理,化学,95,5800
信息与计算科学,物理,化学,80,5500
智能制造工程,物理,化学,40,5800
应用统计学,物理,化学,50,5500
土木工程,物理,化学,61,5800
高分子材料与工程,物理,化学,48,5800
安全工程,物理,化学,50,5800
化学工程与工艺,物理,化学,50,5800
城市地下空间工程,物理,化学,40,5800
化妆品技术与工程,物理,化学,40,5800
智能建造,物理,化学,50,5800
新能源材料与器件,物理,化学,40,5800
食品科学与工程,物理,化学,94,5800
应用化学,物理,化学,37,5500
食品质量与安全,物理,化学,26,5800
电气工程及其自动化（中外合作办学）,物理,化学,53,26400
机械电子工程（中外合作办学）,物理,化学,47,26400
电子科学与技术（中外合作办学）,物理,化学,60,30000
材料科学与工程（中外合作办学）,物理,化学,60,30000
机器人工程（中外合作办学）,物理,化学,60,30000
环境工程（中外合作办学）,物理,化学,60,30000
电气工程及其自动化,物理,化学,30,5800
高分子材料与工程,物理,化学,30,5800
社会体育指导与管理,历史,不限,44,5300
社会体育指导与管理,物理,不限,16,5300
视觉传达设计,历史,不限,53,6800
数字媒体艺术,历史,不限,29,6800
环境设计,历史,不限,47,6800
服装与服饰设计,历史,不限,19,6800
视觉传达设计,物理,不限,5,6800
数字媒体艺术,物理,不限,1,6800
环境设计,物理,不限,3,6800
服装与服饰设计,物理,不限,1,6800
视觉传达设计,历史,不限,28,6800
视觉传达设计,物理,不限,2,6800
音乐学,历史,不限,12,6800
音乐学（师范）,历史,不限,27,6800
音乐学,历史,不限,11,6800
音乐学（师范）,历史,不限,27,6800
音乐学,物理,不限,1,6800
音乐学（师范）,物理,不限,3,6800
音乐学,物理,不限,1,6800
音乐学（师范）,物理,不限,3,6800
