专业,选科,限制,计划数,学费
汉语言文学（师范）,历史,不限,110,5200
经济与金融,历史,不限,7,5200
小学教育（师范）,历史,不限,110,5200
英语,历史,不限,55,5200
汉语言文学,历史,不限,101,5200
朝鲜语,历史,不限,9,5200
广告学,历史,不限,55,5200
国际经济与贸易,历史,不限,8,5200
会计学,历史,不限,114,5200
市场营销,历史,不限,23,5200
财务管理,历史,不限,75,5200
电子商务,历史,不限,77,5200
经济学,历史,不限,50,5200
汉语言文学（师范）,物理,不限,10,5200
朝鲜语,物理,不限,1,5200
小学教育（师范）,物理,不限,10,5200
工程管理（该专业有色觉要求）,物理,不限,46,5200
汉语言文学,物理,不限,15,5200
大数据管理与应用（该专业有色觉要求）,物理,不限,100,5200
广告学,物理,不限,5,5200
信息管理与信息系统（该专业有色觉要求）,物理,不限,25,5200
会计学,物理,不限,15,5200
应急管理（该专业有色觉要求）,物理,不限,50,5200
财务管理,物理,不限,15,5200
物流工程,物理,不限,57,5200
经济学,物理,不限,10,5200
国际经济与贸易,物理,不限,5,5200
经济与金融,物理,不限,2,5200
市场营销,物理,不限,5,5200
金融科技,物理,不限,60,5200
电子商务,物理,不限,10,5200
英语,物理,不限,3,5200
电子信息工程,物理,化学,51,5800
食品营养与健康,物理,化学,100,5800
计算机科学与技术（该专业有色觉要求）,物理,化学,100,5800
生物工程（该专业有色觉要求）,物理,化学,81,5800
软件工程,物理,化学,100,5800
食品质量与安全,物理,化学,6,5800
数据科学与大数据技术,物理,化学,50,5800
给排水科学与工程,物理,化学,61,5800
人工智能,物理,化学,100,5800
环境工程（该专业有色觉要求）,物理,化学,100,5800
电气工程及其自动化,物理,化学,180,5800
资源循环科学与工程,物理,化学,50,5800
机器人工程,物理,化学,100,5800
电子科学与技术,物理,化学,85,5800
机械设计制造及其自动化,物理,化学,63,5800
新能源科学与工程,物理,化学,100,5800
机械电子工程,物理,化学,110,5800
储能科学与工程,物理,化学,100,5800
材料成型及控制工程,物理,化学,60,5800
数学与应用数学,物理,化学,50,5500
工业设计,物理,化学,39,5800
信息与计算科学,物理,化学,90,5500
智能制造工程,物理,化学,110,5800
应用统计学,物理,化学,100,5500
土木工程,物理,化学,31,5800
高分子材料与工程（该专业有色觉要求）,物理,化学,45,5800
安全工程,物理,化学,60,5800
化学工程与工艺（该专业有色觉要求）,物理,化学,30,5800
城市地下空间工程,物理,化学,50,5800
化妆品技术与工程,物理,化学,50,5800
智能建造,物理,化学,60,5800
新能源材料与器件,物理,化学,100,5800
食品科学与工程（该专业有色觉要求）,物理,化学,94,5800
电气工程及其自动化（中外合作办学）,物理,化学,53,26400
机械电子工程（中外合作办学）,物理,化学,47,26400
电子科学与技术（中外合作办学）,物理,化学,60,30000
材料科学与工程（中外合作办学）,物理,化学,60,30000
机器人工程（中外合作办学）,物理,化学,60,30000
环境工程（中外合作办学）（该专业有色觉要求）,物理,化学,60,30000
电气工程及其自动化,物理,化学,30,5800
高分子材料与工程（该专业有色觉要求）,物理,化学,30,5800
社会体育指导与管理,历史,不限,75,5300
社会体育指导与管理,物理,不限,15,5300
视觉传达设计,历史,不限,79,6800
数字媒体艺术,历史,不限,48,6800
环境设计,历史,不限,28,6800
服装与服饰设计,历史,不限,19,6800
视觉传达设计,物理,不限,4,6800
数字媒体艺术,物理,不限,3,6800
环境设计,物理,不限,2,6800
服装与服饰设计,物理,不限,1,6800
音乐学,历史,不限,12,6800
音乐学（师范）,历史,不限,27,6800
音乐学,历史,不限,11,6800
音乐学（师范）,历史,不限,27,6800
音乐学,物理,不限,1,6800
音乐学（师范）,物理,不限,3,6800
音乐学,物理,不限,1,6800
音乐学（师范）,物理,不限,3,6800
