分数,本段人数,累计人数
654-750,104,104
653,12,116
652,15,131
651,12,143
650,20,163
649,17,180
648,20,200
647,24,224
646,19,243
645,23,266
644,27,293
643,35,328
642,28,356
641,33,389
640,41,430
639,42,472
638,32,504
637,34,538
636,48,586
635,44,630
634,57,687
633,53,740
632,49,789
631,52,841
630,58,899
629,60,959
628,65,1024
627,56,1080
626,85,1165
625,77,1242
624,80,1322
623,85,1407
622,100,1507
621,97,1604
620,97,1701
619,110,1811
618,95,1906
617,97,2003
616,110,2113
615,116,2229
614,100,2329
613,118,2447
612,121,2568
611,102,2670
610,123,2793
609,135,2928
608,134,3062
607,142,3204
606,143,3347
605,142,3489
604,150,3639
603,147,3786
602,154,3940
601,151,4091
600,153,4244
599,158,4402
598,195,4597
597,205,4802
596,232,5034
595,164,5198
594,183,5381
593,206,5587
592,217,5804
591,193,5997
590,202,6199
589,232,6431
588,197,6628
587,236,6864
586,229,7093
585,222,7315
584,226,7541
583,242,7783
582,232,8015
581,240,8255
580,274,8529
579,282,8811
578,272,9083
577,253,9336
576,265,9601
575,261,9862
574,290,10152
573,280,10432
572,304,10736
571,299,11035
570,258,11293
569,302,11595
568,320,11915
567,292,12207
566,332,12539
565,309,12848
564,307,13155
563,355,13510
562,331,13841
561,338,14179
560,340,14519
559,304,14823
558,351,15174
557,334,15508
556,351,15859
555,366,16225
554,354,16579
553,380,16959
552,379,17338
551,325,17663
550,397,18060
549,335,18395
548,380,18775
547,392,19167
546,404,19571
545,382,19953
544,375,20328
543,439,20767
542,397,21164
541,419,21583
540,452,22035
539,409,22444
538,434,22878
537,408,23286
536,425,23711
535,404,24115
534,408,24523
533,448,24971
532,406,25377
531,446,25823
530,461,26284
529,454,26738
528,444,27182
527,444,27626
526,457,28083
525,474,28557
524,478,29035
523,487,29522
522,474,29996
521,456,30452
520,496,30948
519,517,31465
518,456,31921
517,486,32407
516,507,32914
515,483,33397
514,481,33878
513,504,34382
512,497,34879
511,486,35365
510,500,35865
509,503,36368
508,481,36849
507,441,37290
506,473,37763
505,473,38236
504,528,38764
503,505,39269
502,493,39762
501,474,40236
500,508,40744
499,449,41193
498,516,41709
497,512,42221
496,501,42722
495,512,43234
494,493,43727
493,540,44267
492,453,44720
491,521,45241
490,517,45758
489,527,46285
488,496,46781
487,482,47263
486,487,47750
485,532,48282
484,560,48842
483,500,49342
482,497,49839
481,461,50300
480,516,50816
479,482,51298
478,448,51746
477,531,52277
476,479,52756
475,505,53261
474,506,53767
473,403,54170
472,389,54559
471,400,54959
470,380,55339
469,386,55725
468,358,56083
467,389,56472
466,384,56856
465,384,57240
464,383,57623
463,372,57995
462,332,58327
461,332,58659
460,369,59028
459,363,59391
458,335,59726
457,353,60079
456,345,60424
455,343,60767
454,345,61112
453,330,61442
452,331,61773
451,337,62110
450,288,62398
449,301,62699
448,326,63025
447,301,63326
446,326,63652
445,313,63965
444,322,64287
443,290,64577
442,290,64867
441,302,65169
440,269,65438
439,304,65742
438,303,66045
437,292,66337
436,283,66620
435,260,66880
434,272,67152
433,253,67405
432,262,67667
431,275,67942
430,237,68179
429,244,68423
428,232,68655
427,252,68907
426,243,69150
425,228,69378
424,240,69618
423,245,69863
422,216,70079
421,237,70316
420,235,70551
419,212,70763
418,211,70974
417,214,71188
416,206,71394
415,227,71621
414,197,71818
413,203,72021
412,209,72230
411,225,72455
410,198,72653
409,190,72843
408,209,73052
407,207,73259
406,204,73463
405,195,73658
404,185,73843
403,179,74022
402,186,74208
401,217,74425
400,186,74611
399,172,74783
398,186,74969
397,194,75163
396,195,75358
395,185,75543
394,189,75732
393,164,75896
392,187,76083
391,179,76262
390,174,76436
389,207,76643
388,191,76834
387,187,77021
386,192,77213
385,177,77390
384,173,77563
383,184,77747
382,194,77941
381,179,78120
380,175,78295
379,183,78478
378,182,78660
377,188,78848
376,172,79020
375,298,79318
374,296,79614
373,305,79919
372,297,80216
371,292,80508
370,267,80775
369,297,81072
368,266,81338
367,304,81642
366,309,81951
365,255,82206
364,300,82506
363,257,82763
362,265,83028
361,243,83271
360,273,83544
359,237,83781
358,251,84032
357,242,84274
356,229,84503
355,235,84738
354,228,84966
353,252,85218
352,242,85460
351,260,85720
350,239,85959
349,242,86201
348,223,86424
347,256,86680
346,261,86941
345,230,87171
344,225,87396
343,221,87617
342,215,87832
341,175,88007
340,235,88242
339,220,88462
338,186,88648
337,184,88832
336,193,89025
335,231,89256
334,241,89497
333,229,89726
332,195,89921
331,215,90136
330,218,90354
329,191,90545
328,208,90753
327,200,90953
326,216,91169
325,230,91399
324,203,91602
323,216,91818
322,172,91990
321,183,92173
320,171,92344
319,175,92519
318,162,92681
317,182,92863
316,158,93021
315,174,93195
314,158,93353
313,149,93502
312,145,93647
311,155,93802
310,144,93946
309,140,94086
308,118,94204
307,126,94330
306,148,94478
305,131,94609
304,117,94726
303,124,94850
302,106,94956
301,133,95089
300,98,95187
299,117,95304
298,93,95397
297,87,95484
296,91,95575
295,118,95693
294,102,95795
293,96,95891
292,98,95989
291,75,96064
290,75,96139
289,91,96230
288,85,96315
287,82,96397
286,88,96485
285,86,96571
284,58,96629
283,77,96706
282,67,96773
281,62,96835
280,69,96904
279,71,96975
278,64,97039
277,52,97091
276,70,97161
275,61,97222
274,51,97273
273,56,97329
272,42,97371
271,48,97419
270,33,97452
269,50,97502
268,50,97552
267,41,97593
266,58,97651
265,35,97686
264,28,97714
263,37,97751
262,47,97798
261,31,97829
260,32,97861
259,30,97891
258,34,97925
257,39,97964
256,27,97991
255,29,98020
254,26,98046
253,23,98069
252,34,98103
251,29,98132
250,34,98166
249,27,98193
248,21,98214
247,17,98231
246,28,98259
245,20,98279
244,21,98300
243,21,98321
242,15,98336
241,21,98357
240,23,98380
239,25,98405
238,22,98427
237,20,98447
236,14,98461
235,14,98475
234,10,98485
233,17,98502
232,18,98520
231,12,98532
230,17,98549
229,16,98565
228,12,98577
227,18,98595
226,12,98607
225,7,98614
224,9,98623
223,7,98630
222,12,98642
221,7,98649
220,10,98659
